lng,lat,pi,dst,sid,stn,dsts,types
-62.45,54.883333,60,pollen surface sample,1039,HFL40,pollen surface sample,1
-62.733333,54.866667,60,pollen surface sample,1055,HFL58,pollen surface sample,1
-75.7,55.066667,40,pollen surface sample,4,17/1,pollen surface sample,1
-75.75,41.6,98,pollen surface sample,146,Site 76 (Swain unpublished),pollen surface sample,1
-105.45,43.5,148,pollen,209,Antelope Playa,pollen,1
-127.483333,65.016667,658,pollen,248,Bell's Lake,pollen,1
-55.505556,48.936111,66,pollen,270,Bishops Falls,pollen,1
148.4,69.066667,306,pollen,278,Bludlivaya River,pollen,1
-93.197222,45.411111,27,pollen,344,Cedar Bog,pollen,1
-127.75,65.516667,69,pollen surface sample,352,Chara Lake,pollen surface sample,1
-123.6,44.6,238,pollen surface sample,381,Site 10 (Heusser 1978),pollen surface sample,1
-123.5,44.55,238,pollen surface sample,383,Site 12 (Heusser 1978),pollen surface sample,1
-79.83,43.5,69,pollen,507,Crawford Lake,pollen,1
-84.958333,44.7,84,pollen,518,Cub Lake,pollen,1
-72.2125,42.516667,41,pollen surface sample,562,Tom Swamp,pollen surface sample,1
-69.991944,60.978889,61,loss-on-ignition,670,Diana 500,"loss-on-ignition,
 pollen",2
-65.77,58.18,745,pollen surface sample,690,Helen Chutes,pollen surface sample,1
-74.17,43.83,109,pollen surface sample,722,Site 13 (Whitehead and Jackson 1990),pollen surface sample,1
-74.2,44.13,109,pollen surface sample,731,Site 21 (Whitehead and Jackson 1990),pollen surface sample,1
-111.666667,38.616667,130,pollen,827,Frying Pan Lake,pollen,1
-80.86,44.74,69,pollen,835,"Georgian Bay, Lake Huron (1)",pollen,1
-110.4,51.45,146,pollen surface sample,897,GMM118,pollen surface sample,1
-85.73,37.55,163,pollen surface sample,927,Site 123 (G.M. Peterson 1978),pollen surface sample,1
-72.183333,42.533333,29,pollen,942,Gould's Bog,pollen,1
-53.133333,47.322222,66,pollen,979,Hawke Hills Kettle,pollen,1
-60.683333,53.633333,60,pollen surface sample,1022,HFL23,pollen surface sample,1
-83.17,35.55,32,pollen surface sample,1093,Site 12 (Delcourt 1978),pollen surface sample,1
-179.75,70.833333,118,pollen,1126,Jack London Lake (RU:Wrangle Island),pollen,1
-79.6,39.1,68,pollen surface sample,1133,Canaan Valley,pollen surface sample,1
-63.93,45.55,742,pollen surface sample,1153,Site 17 (Railton 1973),pollen surface sample,1
-55.7,48.95,742,pollen surface sample,1166,Site 30 (Railton 1973),pollen surface sample,1
-91.97,50.02,69,pollen surface sample,1230,Site 10 (McAndrews unpublished),pollen surface sample,1
-79.43,43.95,69,pollen surface sample,1245,Wilcox Lake,"pollen surface sample,
 geochronologic,
 pollen",3
-79.88,43.37,69,pollen surface sample,1248,Lake Medad,pollen surface sample,1
-80.366111,26.359167,704,pollen surface sample,1322,Site 2 (Jensen 1998),pollen surface sample,1
-80.377778,26.358889,704,pollen surface sample,1348,Site 28 (Jensen 1998),pollen surface sample,1
-89.87,43.03,28,pollen surface sample,63,Brighm35,pollen surface sample,1
-89.87,43.05,28,pollen surface sample,65,Brighm25,pollen surface sample,1
-88.8,45.32,98,pollen surface sample,79,Site 9 (Swain unpublished),pollen surface sample,1
-89.42,46.25,98,pollen surface sample,92,Site 22 (Swain unpublished),pollen surface sample,1
131.6,43.133333,827,pollen,228,Lower Barabaschevka River Exposure 594,pollen,1
-120.216667,73.533333,40,pollen,263,Banks Island 74MS15,pollen,1
-73.558333,55.001667,40,pollen surface sample,286,Lake BN4B,pollen surface sample,1
-107.8,37.483333,67,pollen,339,Cascade Fen,pollen,1
-122.35,44.4,238,pollen surface sample,402,Site 31 (Heusser 1978),pollen surface sample,1
-121.95,44.42,238,pollen surface sample,408,Site 37 (Heusser 1978),pollen surface sample,1
-123.25,47.92,238,pollen surface sample,463,Cape Flattery,pollen surface sample,1
-115.316667,67.833333,76,pollen,495,Coppermine Saddleback,pollen,1
-110.283611,44.49,114,pollen,519,Cub Creek Pond,pollen,1
-87.98,36.02,32,pollen surface sample,566,Site 3 (Delcourt  et al. 1983),pollen surface sample,1
-83.23,34.39,32,pollen surface sample,570,Site 7 (Delcourt  et al. 1983),pollen surface sample,1
-93.72,30.13,32,pollen surface sample,627,Site 64 (Delcourt  et al. 1983),pollen surface sample,1
-85.37,30.82,32,pollen surface sample,629,Site 66 (Delcourt  et al. 1983),pollen surface sample,1
-89.73205,43.4178,67,pollen,666,Devils Lake,pollen,1
-82.5,75.35,69,pollen,667,Devon Island Glacier,pollen,1
-110.233333,43.933333,161,pollen,681,Divide Lake,pollen,1
-63.88,59.55,745,pollen surface sample,682,Miriam Lake,pollen surface sample,1
-73.9,44.33,109,pollen surface sample,715,Site 6 (Whitehead and Jackson 1990),pollen surface sample,1
-76.458333,36.583333,109,pollen surface sample,750,Lake Drummond,pollen surface sample,1
